route_id,route_name,from,to,stop_index,stop_name,longitude,latitude
30009,Route 10,Multan Chungi,Qartaba Chowk,9,Ichra,74.3183969,31.5329591
30009,Route 10,Multan Chungi,Qartaba Chowk,10,Shama,74.3108066,31.5415843
30009,Route 10,Multan Chungi,Qartaba Chowk,11,Qartaba Chowk,74.3150933,31.5487313
30010,Route 11,Babu Sabu,Main Market Gulberg,1,Babu Sabu,74.2552499,31.5458661
30010,Route 11,Babu Sabu,Main Market Gulberg,2,Niazi Adda,,
30010,Route 11,Babu Sabu,Main Market Gulberg,3,City Bus Stand,,
30010,Route 11,Babu Sabu,Main Market Gulberg,4,Chowk Yateem Khana,74.2876376,31.5416658
30010,Route 11,Babu Sabu,Main Market Gulberg,5,Scheme Morr,74.2836574,31.5256409
30010,Route 11,Babu Sabu,Main Market Gulberg,6,Flat Stop,,
30010,Route 11,Babu Sabu,Main Market Gulberg,7,Dubai Chowk,,
30010,Route 11,Babu Sabu,Main Market Gulberg,8,Bhekewal Morr,74.3014506,31.5099272
30010,Route 11,Babu Sabu,Main Market Gulberg,9,Sheikh Zaid Hospital,,
30010,Route 11,Babu Sabu,Main Market Gulberg,10,Campus Pull,,
30010,Route 11,Babu Sabu,Main Market Gulberg,11,Barkat Market,74.3210894,31.4999719
30010,Route 11,Babu Sabu,Main Market Gulberg,12,Kalma Chowk,74.3312373,31.5043672
30010,Route 11,Babu Sabu,Main Market Gulberg,13,Liberty Chowk,74.3406101,31.5100178
30010,Route 11,Babu Sabu,Main Market Gulberg,14,Hafeez Center,74.3410061,31.5158669
30010,Route 11,Babu Sabu,Main Market Gulberg,15,Mini Market,74.4087554,31.4998754
30010,Route 11,Babu Sabu,Main Market Gulberg,16,Main Market Gulberg,74.3461065,31.5242296
30011,Route 12,R.A Bazar,Civil Secretariat,1,R.A Bazar,74.3833725,31.5000864
30011,Route 12,R.A Bazar,Civil Secretariat,2,PAF Market,74.381795,31.5196105
30011,Route 12,R.A Bazar,Civil Secretariat,3,Girja Chowk,74.3790477,31.5221746
30011,Route 12,R.A Bazar,Civil Secretariat,4,Afshan Chowk,,
30011,Route 12,R.A Bazar,Civil Secretariat,5,Fortress Stadium,74.3660636,31.5317842
30011,Route 12,R.A Bazar,Civil Secretariat,6,Gymkhana,74.3546905,31.5351391
30011,Route 12,R.A Bazar,Civil Secretariat,7,Aitchison College,74.3467084,31.5503771
30011,Route 12,R.A Bazar,Civil Secretariat,8,PC Hotel,74.3027019,31.5047769
30011,Route 12,R.A Bazar,Civil Secretariat,9,Lahore Zoo,74.3256959,31.5566749
30011,Route 12,R.A Bazar,Civil Secretariat,10,Chairing Cross,,
30011,Route 12,R.A Bazar,Civil Secretariat,11,GPO,74.3142441,31.5655539
30011,Route 12,R.A Bazar,Civil Secretariat,12,Anarkali,74.3093358,31.5624834
30011,Route 12,R.A Bazar,Civil Secretariat,13,Civil Secretariat,74.304381,31.5688829
30012,Route 13,Bagrian,Kalma Chowk,1,Bagrian,74.298845,31.4273345
30012,Route 13,Bagrian,Kalma Chowk,2,Ghazi Chowk,74.3509757,31.4580104
30012,Route 13,Bagrian,Kalma Chowk,3,UMT Stop,,
30012,Route 13,Bagrian,Kalma Chowk,4,Khokhar Chowk,74.2729324,31.4697282
30012,Route 13,Bagrian,Kalma Chowk,5,Akbar Chowk,74.3069107,31.4676215
30012,Route 13,Bagrian,Kalma Chowk,6,Pindi Stop,,
30012,Route 13,Bagrian,Kalma Chowk,7,Peco Morr,,
30012,Route 13,Bagrian,Kalma Chowk,8,Phatak Mandi,,
30012,Route 13,Bagrian,Kalma Chowk,9,Ittefaq Hospital,74.3375093,31.4756654
30012,Route 13,Bagrian,Kalma Chowk,10,Model Town,74.3310336,31.4859439
30012,Route 13,Bagrian,Kalma Chowk,11,Kalma Chowk,74.3312373,31.5043672
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,1,R.A Bazar,74.3833725,31.5000864
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,2,Fauji Foundation,74.3949245,31.500104
